icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
KUIN,UIN,Quincy Regional Airport Baldwin Field,Quincy,US,NA,medium_airport,3,7098,39.94270,-91.19460
KVGT,VGT,North Las Vegas Airport,Las Vegas,US,NA,medium_airport,3,5005,36.20907,-115.19398
KVQQ,VQQ,Cecil Airport,Jacksonville,US,NA,medium_airport,4,12504,30.21870,-81.87670
KVRB,VRB,Vero Beach Regional Airport,Vero Beach,US,NA,medium_airport,3,7314,27.65560,-80.41790
KWRL,WRL,Worland Municipal Airport,Worland,US,NA,medium_airport,3,7000,43.96570,-107.95100
KX51,,Miami Homestead General Aviation Airport,Homestead,US,NA,medium_airport,3,4000,25.49920,-80.55430
KYNG,YNG,Youngstown Warren Regional Airport,Youngstown/Warren,US,NA,medium_airport,3,9003,41.26070,-80.67910
LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,EU,large_airport,3,11000,41.29710,2.07846
LECU,,Madrid-Cuatro Vientos Airport,Madrid,ES,EU,medium_airport,3,4921,40.37070,-3.78514
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,EU,large_airport,4,14271,40.49341,-3.57225
LFAV,,Valenciennes-Denain Airfield,Prouvy,FR,EU,medium_airport,3,5604,50.32782,3.46106
LFJR,ANE,Angers Marcé airport,Angers,FR,EU,medium_airport,3,5906,47.56030,-0.31222
LFLC,CFE,Clermont-Ferrand Auvergne airport,Clermont-Ferrand,FR,EU,large_airport,3,9885,45.78670,3.16917
LFLU,VAF,Valence-Chabeuil Airport,"Chabeuil, Drôme",FR,EU,medium_airport,3,6890,44.92160,4.96990
LFMD,CEQ,Cannes Mandelieu Airport,Cannes,FR,EU,medium_airport,3,5052,43.54800,6.95518
LFMY,,Salon-de-Provence (BA 701) Air Base,Salon,FR,EU,medium_airport,4,6565,43.60640,5.10925
LFOB,BVA,Beauvais-Tillé airport,Beauvais,FR,EU,large_airport,3,7972,49.45440,2.11278
LFOI,,Abbeville-Buigny Baie de Somme Airfield,Buigny-Saint-Maclou,FR,EU,medium_airport,3,4101,50.14350,1.83189
