icao,iata,name,city,country,continent,kind,runways,longest_ft,lat,lon
FAKD,KXE,P C Pelser Airport,Klerksdorp,ZA,AF,medium_airport,3,4921,-26.87110,26.71800
FALW,SDB,Langebaanweg Airport,Langebaanweg,ZA,AF,medium_airport,4,7689,-32.96890,18.16030
FAUP,UTN,Upington Airport,Upington,ZA,AF,medium_airport,3,16076,-28.40025,21.26359
HE37,,Bilbeis Air Base,Bilbeis,EG,AF,medium_airport,5,11480,30.39490,31.60140
HECA,CAI,Cairo International Airport,Cairo,EG,AF,large_airport,3,13124,30.11153,31.39669
HECP,CCE,Capital International Airport,New Cairo,EG,AF,medium_airport,3,11980,30.06465,31.83997
HKLO,LOK,Lodwar Airport,Lodwar,KE,AF,medium_airport,3,3281,3.12197,35.60870
KABI,ABI,Abilene Regional Airport,Abilene,US,NA,medium_airport,3,7208,32.41130,-99.68190
KABQ,ABQ,Albuquerque International Sunport,Albuquerque,US,NA,large_airport,3,13793,35.03998,-106.60892
KAGC,AGC,Allegheny County Airport,Pittsburgh,US,NA,medium_airport,3,6501,40.35440,-79.93020
KAIA,AIA,Alliance Municipal Airport,Alliance,US,NA,medium_airport,3,9203,42.05254,-102.80397
KAPA,APA,Centennial Airport,Denver,US,NA,medium_airport,3,10001,39.57010,-104.84900
KAPF,APF,Naples Municipal Airport,Naples,US,NA,medium_airport,3,6600,26.15260,-81.77530
KATL,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,US,NA,large_airport,5,12390,33.63670,-84.42810
KAUW,AUW,Wausau Downtown Airport,Wausau,US,NA,medium_airport,3,8000,44.92620,-89.62660
KAZO,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,US,NA,medium_airport,3,6502,42.23210,-85.54964
KBIH,BIH,Eastern Sierra Regional Airport,Bishop,US,NA,medium_airport,3,7498,37.37310,-118.36400
KBIL,BIL,Billings Logan International Airport,Billings,US,NA,medium_airport,3,10518,45.80893,-108.54124
KBJC,BJC,Rocky Mountain Metropolitan Airport,Denver,US,NA,medium_airport,3,9000,39.90880,-105.11700
KBKE,BKE,Baker City Municipal Airport,Baker City,US,NA,medium_airport,3,5084,44.83730,-117.80900
KBNA,BNA,Nashville International Airport,Nashville,US,NA,large_airport,4,11030,36.12450,-86.67820
KBOS,BOS,Boston Logan International Airport,Boston,US,NA,large_airport,6,10083,42.36197,-71.00790
KBRD,BRD,Brainerd Lakes Regional Airport,Brainerd,US,NA,medium_airport,3,7100,46.40286,-94.12973
KBTL,BTL,Battle Creek Executive Airport at Kellogg Field,Battle Creek,US,NA,medium_airport,3,10004,42.30730,-85.25150
KBTR,BTR,Baton Rouge Metropolitan Airport,Baton Rouge,US,NA,medium_airport,3,7500,30.53320,-91.14960
KBWI,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US,NA,large_airport,3,10503,39.17540,-76.66830
KBZN,BZN,Bozeman Yellowstone International Airport,Bozeman,US,NA,medium_airport,4,8994,45.77885,-111.15371
KCBM,CBM,Columbus Air Force Base,Columbus,US,NA,medium_airport,3,12004,33.64380,-88.44380
KCCR,CCR,Buchanan Field,Concord,US,NA,medium_airport,4,5001,37.98970,-122.05700
KCCY,CCY,Northeast Iowa Regional Airport,Charles City,US,NA,medium_airport,3,4000,43.07260,-92.61080
KCLE,CLE,Cleveland Hopkins International Airport,Cleveland,US,NA,large_airport,3,9953,41.41170,-81.84980
KCLT,CLT,Charlotte Douglas International Airport,Charlotte,US,NA,large_airport,3,10000,35.21400,-80.94310
KCMI,CMI,University of Illinois Willard Airport,Savoy,US,NA,medium_airport,3,8101,40.03982,-88.27625
KCNM,CNM,Cavern City Air Terminal,Carlsbad,US,NA,medium_airport,4,7854,32.33750,-104.26300
KCOS,COS,City of Colorado Springs Municipal Airport,Colorado Springs,US,NA,large_airport,3,13500,38.80580,-104.70100
KCVG,CVG,Cincinnati Northern Kentucky International Airport,Cincinnati / Covington,US,NA,large_airport,4,12001,39.04880,-84.66780
KCVN,CVN,Clovis Municipal Airport,Clovis,US,NA,medium_airport,3,7200,34.42659,-103.07879
KDAB,DAB,Daytona Beach International Airport,Daytona Beach,US,NA,medium_airport,3,10500,29.18255,-81.05946
KDAY,DAY,James M. Cox Dayton International Airport,Dayton,US,NA,medium_airport,3,10901,39.90240,-84.21940
KDCA,DCA,Ronald Reagan Washington National Airport,Washington,US,NA,large_airport,3,7169,38.85210,-77.03770
KDEC,DEC,Decatur Airport,Decatur,US,NA,medium_airport,3,8496,39.83460,-88.86570
KDEN,DEN,Denver International Airport,Denver,US,NA,large_airport,6,16000,39.86003,-104.67379
KDFW,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,US,NA,large_airport,7,13401,32.89680,-97.03800
KDLF,DLF,Laughlin Air Force Base,Del Rio,US,NA,medium_airport,3,8852,29.35950,-100.77800
KDPA,DPA,Dupage Airport,Chicago/West Chicago,US,NA,medium_airport,4,7571,41.90780,-88.24860
KDTW,DTW,Detroit Metropolitan Wayne County Airport,Detroit,US,NA,large_airport,6,12003,42.21377,-83.35379
KDYS,DYS,Dyess Air Force Base,Abilene,US,NA,medium_airport,3,13500,32.42080,-99.85460
KEDW,EDW,Edwards Air Force Base,Edwards,US,NA,medium_airport,3,16798,34.91078,-117.88639
KELM,ELM,Elmira Corning Regional Airport,Elmira/Corning,US,NA,medium_airport,3,8001,42.15990,-76.89160
KELP,ELP,El Paso International Airport,El Paso,US,NA,large_airport,3,12020,31.80991,-106.37561
KEND,END,Vance Air Force Base,Enid,US,NA,medium_airport,3,9217,36.33920,-97.91650
KENW,ENW,Kenosha Regional Airport,Kenosha,US,NA,medium_airport,3,6600,42.59570,-87.92780
KEVV,EVV,Evansville Regional Airport,Evansville,US,NA,medium_airport,3,8021,38.03700,-87.53240
KEWR,EWR,Newark Liberty International Airport,Newark,US,NA,large_airport,3,11000,40.68940,-74.17055
KFAR,FAR,Hector International Airport,Fargo,US,NA,medium_airport,3,9001,46.92070,-96.81580
KFHU,FHU,Sierra Vista Municipal Airport / Libby Army Air Field,Fort Huachuca / Sierra Vista,US,NA,medium_airport,3,12001,31.58738,-110.34822
KFSD,FSD,Sioux Falls Regional Airport,Sioux Falls,US,NA,medium_airport,3,9000,43.58546,-96.74115
KFST,FST,Fort Stockton Pecos County Airport,Fort Stockton,US,NA,medium_airport,5,7508,30.91570,-102.91600
KFTK,FTK,Godman Army Air Field,Fort Knox,US,NA,medium_airport,3,5184,37.90710,-85.97210
KFWA,FWA,Fort Wayne International Airport,Fort Wayne,US,NA,medium_airport,3,11981,40.97890,-85.19446
KGFK,GFK,Grand Forks International Airport,Grand Forks,US,NA,medium_airport,4,7351,47.94930,-97.17610
KGLD,GLD,Goodland Municipal Airport,Goodland,US,NA,medium_airport,3,5499,39.37070,-101.69975
KGRR,GRR,Gerald R. Ford International Airport,Grand Rapids,US,NA,large_airport,3,10001,42.88080,-85.52280
KGSO,GSO,Piedmont Triad International Airport,Greensboro,US,NA,large_airport,3,10001,36.09937,-79.93726
KGTB,,Wheeler Sack Army Air Field,Fort Drum,US,NA,medium_airport,3,10000,44.05560,-75.71950
KGTF,GTF,Great Falls International Airport,Great Falls,US,NA,medium_airport,3,10502,47.48200,-111.37100
KGWO,GWO,Greenwood–Leflore Airport,Greenwood,US,NA,medium_airport,3,6501,33.49502,-90.08820
KHFD,HFD,Hartford Brainard Airport,Hartford,US,NA,medium_airport,3,4417,41.73670,-72.64940
KHIO,HIO,Portland Hillsboro Airport,Portland,US,NA,medium_airport,3,6600,45.54040,-122.95000
KHLN,HLN,Helena Regional Airport,Helena,US,NA,medium_airport,3,9000,46.60680,-111.98300
KHMN,HMN,Holloman Air Force Base,Alamogordo,US,NA,medium_airport,3,12922,32.85250,-106.10700
KHOB,HOB,Lea County Regional Airport,Hobbs,US,NA,medium_airport,3,8000,32.68750,-103.21700
KHOU,HOU,William P. Hobby Airport,Houston,US,NA,large_airport,3,7602,29.64534,-95.27681
KHRL,HRL,Valley International Airport,Harlingen,US,NA,medium_airport,3,9400,26.22850,-97.65440
KHUT,HUT,Hutchinson Municipal Airport,Hutchinson,US,NA,medium_airport,3,7003,38.06550,-97.86060
KHWO,HWO,North Perry Airport,Hollywood,US,NA,medium_airport,4,3463,26.00120,-80.24070
KHYI,,San Marcos Regional Airport,San Marcos,US,NA,medium_airport,3,6330,29.89270,-97.86300
KIAD,IAD,Washington Dulles International Airport,Dulles,US,NA,large_airport,4,11500,38.94450,-77.45580
KIAH,IAH,George Bush Intercontinental Airport,Houston,US,NA,large_airport,5,12001,29.98440,-95.34140
KICT,ICT,Wichita Dwight D. Eisenhower National Airport,Wichita,US,NA,medium_airport,3,10302,37.65031,-97.42858
KILG,ILG,Wilmington Airport,Wilmington,US,NA,medium_airport,3,7275,39.67870,-75.60650
KIND,IND,Indianapolis International Airport,Indianapolis,US,NA,large_airport,3,11200,39.71730,-86.29440
KISP,ISP,Long Island MacArthur Airport,Islip,US,NA,medium_airport,3,7006,40.79632,-73.10170
KIWA,AZA,Mesa Gateway Airport,Mesa,US,NA,medium_airport,3,10401,33.30780,-111.65500
KJFK,JFK,John F. Kennedy International Airport,New York,US,NA,large_airport,4,14511,40.63945,-73.77932
KLAN,LAN,Capital Region International Airport,Lansing,US,NA,medium_airport,3,8506,42.77758,-84.58572
KLAS,LAS,Harry Reid International Airport,Las Vegas,US,NA,large_airport,4,14835,36.08336,-115.15182
KLAX,LAX,Los Angeles International Airport,Los Angeles,US,NA,large_airport,4,12894,33.94250,-118.40800
KLBB,LBB,Lubbock Preston Smith International Airport,Lubbock,US,NA,medium_airport,3,11500,33.66360,-101.82300
KLFT,LFT,Lafayette Regional Airport,Lafayette,US,NA,medium_airport,3,8000,30.20530,-91.98760
KLGB,LGB,Long Beach International Airport,Long Beach,US,NA,large_airport,3,10000,33.81652,-118.14989
KLIT,LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,US,NA,medium_airport,3,8273,34.72922,-92.22359
KLNK,LNK,Lincoln Airport,Lincoln,US,NA,medium_airport,3,12901,40.84488,-96.76178
KLRD,LRD,Laredo International Airport,Laredo,US,NA,medium_airport,3,8743,27.54380,-99.46160
KLRU,LRU,Las Cruces International Airport,Las Cruces,US,NA,medium_airport,3,7506,32.28940,-106.92200
KLSE,LSE,La Crosse Regional Airport,La Crosse,US,NA,medium_airport,3,8742,43.87900,-91.25670
KLTS,LTS,Altus Air Force Base,Altus,US,NA,medium_airport,3,13440,34.66710,-99.26670
KLUK,LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,US,NA,medium_airport,3,6101,39.10236,-84.41894
KLVM,LVM,Mission Field,Livingston,US,NA,medium_airport,3,5701,45.69940,-110.44800
KLWT,LWT,Lewistown Municipal Airport,Lewistown,US,NA,medium_airport,3,6100,47.04843,-109.46614
KMAF,MAF,Midland International Air and Space Port,Midland,US,NA,medium_airport,4,9501,31.94250,-102.20200
KMCI,MCI,Kansas City International Airport,Kansas City,US,NA,large_airport,3,10801,39.30170,-94.71389
KMCK,MCK,McCook Ben Nelson Regional Airport,McCook,US,NA,medium_airport,3,6450,40.20779,-100.59279
KMCO,MCO,Orlando International Airport,Orlando,US,NA,large_airport,4,12005,28.42940,-81.30900
KMDH,MDH,Southern Illinois Airport,Murphysboro,US,NA,medium_airport,3,6506,37.77810,-89.25200
KMDW,MDW,Chicago Midway International Airport,Chicago,US,NA,large_airport,4,6522,41.78600,-87.75240
KMEM,MEM,Frederick W. Smith International Airport,Memphis,US,NA,large_airport,4,11120,35.04384,-89.97634
KMHV,MHV,Mojave Air &  Space Port,Mojave,US,NA,medium_airport,3,12503,35.05639,-118.14534
KMIA,MIA,Miami International Airport,Miami,US,NA,large_airport,4,13016,25.79601,-80.28975
KMKE,MKE,General Mitchell International Airport,Milwaukee,US,NA,large_airport,5,9990,42.94720,-87.89660
KMLB,MLB,Melbourne Orlando International Airport,Melbourne,US,NA,medium_airport,3,10181,28.10201,-80.64109
KMLI,MLI,Quad City International Airport,Moline,US,NA,medium_airport,3,10002,41.44850,-90.50750
KMSN,MSN,Dane County Regional Truax Field,Madison,US,NA,medium_airport,3,9006,43.13990,-89.33750
KMSP,MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,NA,large_airport,4,11006,44.88008,-93.22174
KMUI,MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,Fort Indiantown Gap(Annville),US,NA,medium_airport,4,3981,40.43521,-76.56866
KMWH,MWH,Grant County International Airport,Moses Lake,US,NA,medium_airport,5,13503,47.20770,-119.32000
KNEW,NEW,Lakefront Airport,New Orleans,US,NA,medium_airport,3,6879,30.04240,-90.02830
KNFL,NFL,Fallon Naval Air Station,Fallon,US,NA,medium_airport,3,14001,39.41660,-118.70100
KNGP,NGP,Naval Air Station Corpus Christi Truax Field,Corpus Christi,US,NA,medium_airport,4,8001,27.69260,-97.29110
KNHK,NHK,Patuxent River Naval Air Station (Trapnell Field),Patuxent River,US,NA,medium_airport,3,11799,38.28600,-76.41180
KNID,,China Lake Naws (Armitage Field) Airport,China Lake,US,NA,medium_airport,3,11199,35.68540,-117.69200
KNKT,,Cherry Point MCAS / Cunningham Field/,Cherry Point,US,NA,medium_airport,4,8978,34.90090,-76.88070
