icao,iata,name,city,country,region,continent,kind,runways,longest_ft,lat,lon
KHIB,HIB,Range Regional Airport,Hibbing,US,US-MN,NA,medium_airport,2,6758,47.38483,-92.83691
KHIF,HIF,Hill Air Force Base,Ogden,US,US-UT,NA,medium_airport,1,13500,41.12403,-111.97309
KHII,HII,Lake Havasu City Airport,Lake Havasu City,US,US-AZ,NA,medium_airport,1,8000,34.57051,-114.35774
KHIO,HIO,Portland Hillsboro Airport,Portland,US,US-OR,NA,medium_airport,3,6600,45.54040,-122.95000
KHKY,HKY,Hickory Regional Airport,Hickory,US,US-NC,NA,medium_airport,1,6401,35.74110,-81.38950
KHLG,HLG,Wheeling Ohio County Airport,Wheeling,US,US-WV,NA,medium_airport,2,5002,40.17500,-80.64630
KHLN,HLN,Helena Regional Airport,Helena,US,US-MT,NA,medium_airport,3,9000,46.60680,-111.98300
KHMN,HMN,Holloman Air Force Base,Alamogordo,US,US-NM,NA,medium_airport,3,12922,32.85250,-106.10700
KHOB,HOB,Lea County Regional Airport,Hobbs,US,US-NM,NA,medium_airport,3,8000,32.68750,-103.21700
KHON,HON,Huron Regional Airport,Huron,US,US-SD,NA,medium_airport,2,7201,44.38520,-98.22850
KHOP,HOP,Campbell Army Airfield (Fort Campbell),Fort Campbell,US,US-KY,NA,medium_airport,2,10926,36.67415,-87.48974
KHOT,HOT,Memorial Field Airport,Hot Springs,US,US-AR,NA,medium_airport,2,6595,34.47880,-93.09626
KHOU,HOU,William P. Hobby Airport,Houston,US,US-TX,NA,large_airport,3,7602,29.64534,-95.27681
KHPN,HPN,Westchester County Airport,White Plains,US,US-NY,NA,medium_airport,2,6549,41.06700,-73.70760
KHQM,HQM,Bowerman Airport,Hoquiam,US,US-WA,NA,medium_airport,1,5000,46.97120,-123.93700
KHRL,HRL,Valley International Airport,Harlingen,US,US-TX,NA,medium_airport,3,9400,26.22850,-97.65440
KHRO,HRO,Boone County Airport,Harrison,US,US-AR,NA,medium_airport,1,6161,36.26150,-93.15470
KHRT,,Hurlburt Field,Mary Esther,US,US-FL,NA,medium_airport,1,9600,30.42780,-86.68930
KHST,HST,Homestead Air Reserve Base,Homestead,US,US-FL,NA,medium_airport,1,11201,25.48860,-80.38360
KHSV,HSV,Huntsville International Airport,Huntsville,US,US-AL,NA,medium_airport,2,12600,34.63624,-86.77438
