icao,iata,name,city,country,region,continent,kind,runways,longest_ft,lat,lon
07FA,OCA,Ocean Reef Club Airport,Key Largo,US,US-FL,NA,medium_airport,1,4500,25.32540,-80.27480
AGGH,HIR,Honiara International Airport,Honiara,SB,SB-GU,OC,large_airport,1,7218,-9.42800,160.05499
AGGM,MUA,Munda Airport,Munda,SB,SB-WE,OC,medium_airport,1,4593,-8.32797,157.26300
ANYN,INU,Nauru International Airport,Yaren,NR,NR-14,OC,medium_airport,1,7054,-0.54789,166.91952
AQBC,,Boulder Clay Runway,Zucchelli Station,AQ,AQ-U-A,AN,medium_airport,0,,-74.73937,164.03539
AT03,,Concordia Skyway,Concordia Station,AQ,AQ-U-A,AN,medium_airport,0,,-75.10328,123.35825
AT28,,Vostok Skiway,Vostok Station,AQ,AQ-U-A,AN,medium_airport,0,,-78.46614,106.84825
AYBA,VMU,Baimuru Airport,Baimuru,PG,PG-GPK,OC,medium_airport,1,2953,-7.49695,144.82176
AYBK,BUA,Buka Airport,Buka Island,PG,PG-NSB,OC,medium_airport,1,5125,-5.42230,154.67270
AYBM,OPU,Balimo Airport,Balimo,PG,PG-WPD,OC,medium_airport,0,,-8.05000,142.93300
AYCH,CMU,Chimbu Airport,Kundiawa,PG,PG-CPK,OC,medium_airport,1,3330,-6.02429,144.97099
AYDU,DAU,Daru Airport,Daru,PG,PG-WPD,OC,medium_airport,1,4593,-9.08676,143.20799
AYGA,GKA,Goroka Airport,Goronka,PG,PG-EHG,OC,medium_airport,2,5400,-6.08169,145.39200
AYGN,GUR,Gurney Airport,Gurney,PG,PG-MBA,OC,medium_airport,1,5546,-10.31150,150.33400
AYGR,PNP,Girua Airport,Popondetta,PG,PG-NPP,OC,medium_airport,1,5485,-8.80454,148.30901
AYHK,HKN,Hoskins Airport,Kimbe,PG,PG-WBK,OC,medium_airport,1,6644,-5.46385,150.40733
AYKM,KMA,Kerema Airport,Kerema,PG,PG-GPK,OC,medium_airport,1,3044,-7.96361,145.77100
AYKV,KVG,Kavieng Airport,Kavieng,PG,PG-NIK,OC,medium_airport,1,5592,-2.57940,150.80800
AYMD,MAG,Madang Airport,Madang,PG,PG-MPM,OC,medium_airport,1,5174,-5.20708,145.78900
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,PG,PG-WHM,OC,medium_airport,2,7185,-5.82821,144.29941
AYMN,MDU,Mendi Airport,Mendi,PG,PG-SHM,OC,medium_airport,1,4411,-6.14774,143.65700
AYMO,MAS,Momote Airport,Manus Island,PG,PG-MRL,OC,medium_airport,1,6136,-2.06189,147.42400
AYNZ,LAE,Nadzab Tomodachi International Airport,Lae,PG,PG-MPL,OC,large_airport,1,8000,-6.56799,146.72654
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,PG,PG-NCD,OC,large_airport,2,9022,-9.44338,147.22000
AYTK,RAB,Tokua Airport,Kokopo,PG,PG-EBR,OC,medium_airport,1,5643,-4.34046,152.38001
AYVN,VAI,Vanimo Airport,Vanimo,PG,PG-SAN,OC,medium_airport,1,5775,-2.69260,141.30280
AYWD,WBM,Wapenamanda Airport,Wapenamanda,PG,PG-EPW,OC,medium_airport,1,5052,-5.63529,143.89223
AYWK,WWK,Wewak International Airport,Wewak,PG,PG-ESW,OC,medium_airport,1,5234,-3.58383,143.66901
BGAA,JEG,Aasiaat Airport,Aasiaat,GL,GL-QK,NA,medium_airport,1,2621,68.72180,-52.78470
BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,GL,GL-SE,NA,medium_airport,1,3281,70.74310,-22.65050
BGGH,GOH,Nuuk International Airport,Nuuk,GL,GL-SE,NA,large_airport,1,7217,64.19107,-51.67914
BGJN,JAV,Ilulissat Airport,Ilulissat,GL,GL-AV,NA,medium_airport,1,2772,69.24320,-51.05710
BGKK,KUS,Kulusuk Airport,Kulusuk,GL,GL-SE,NA,medium_airport,1,3934,65.57360,-37.12360
BGQO,JJU,Qaqortoq Airport,Qaqortoq,GL,GL-KU,NA,medium_airport,0,,60.76383,-46.06500
BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,GL,GL-AV,NA,medium_airport,1,3314,77.48860,-69.38870
BGSF,SFJ,Kangerlussuaq International Airport,Kangerlussuaq,GL,GL-QA,NA,medium_airport,1,9219,67.01045,-50.71529
BGSS,JHS,Sisimiut Airport,Sisimiut,GL,GL-QA,NA,medium_airport,1,2621,66.95130,-53.72930
BGTL,THU,Pituffik Space Base,Pituffik,GL,GL-AV,NA,medium_airport,1,9997,76.53063,-68.70054
BIAR,AEY,Akureyri International Airport,Akureyri,IS,IS-6,EU,large_airport,1,8858,65.65657,-18.07202
BIBD,BIU,Bildudalur Airport,Bildudalur,IS,IS-4,EU,medium_airport,1,3084,65.64130,-23.54620
BIEG,EGS,Egilsstaðir Airport,Egilsstaðir,IS,IS-7,EU,medium_airport,1,7054,65.28330,-14.40140
BIGR,GRY,Grímsey Airport,Grímsey/Sandvík,IS,IS-6,EU,medium_airport,1,3399,66.54580,-18.01730
BIHN,HFN,Hornafjörður Airport,Höfn,IS,IS-8,EU,medium_airport,1,4921,64.29560,-15.22720
BIHU,HZK,Húsavík Airport,Húsavík,IS,IS-6,EU,medium_airport,1,5266,65.95230,-17.42600
BIIS,IFJ,Ísafjörður Airport,Ísafjörður,IS,IS-4,EU,medium_airport,1,4593,66.05810,-23.13530
BIKF,KEF,Keflavik International Airport,Reykjavík,IS,IS-2,EU,large_airport,2,10056,63.98500,-22.60560
BIRK,RKV,Reykjavík Domestic Airport,Reykjavík,IS,IS-1,EU,medium_airport,2,5138,64.12873,-21.93759
BIRL,MVA,Mývatn Airport,Myvatn,IS,IS-6,EU,medium_airport,1,3461,65.65580,-16.91810
BISI,SIJ,Siglufjörður Airport,Siglufjörður,IS,IS-6,EU,medium_airport,1,3556,66.13785,-18.90816
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,IS,IS-8,EU,medium_airport,2,3937,63.42430,-20.27890
BIVO,VPN,Vopnafjörður Airport,Vopnafjörður,IS,IS-7,EU,medium_airport,1,2904,65.72060,-14.85060
BKPR,PRN,Priština Adem Jashari International Airport,Prishtina,XK,XK-01,EU,large_airport,1,9974,42.57280,21.03580
CAJ4,YAA,Anahim Lake Airport,Anahim Lake,CA,CA-BC,NA,medium_airport,1,3930,52.45150,-125.30378
CAT4,XQU,Qualicum Beach Airport,Qualicum Beach,CA,CA-BC,NA,medium_airport,1,3565,49.33746,-124.39309
CAZ5,YZA,Cache Creek-Ashcroft Regional Airport,Cache Creek,CA,CA-BC,NA,medium_airport,1,3280,50.77526,-121.32131
CBBC,ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,CA,CA-BC,NA,medium_airport,1,3700,52.18500,-128.15699
CNC3,,Brampton-Caledon Airport,,CA,CA-ON,NA,medium_airport,2,3500,43.76030,-79.87500
CYAG,YAG,Fort Frances Municipal Airport,Fort Frances,CA,CA-ON,NA,medium_airport,2,4500,48.65575,-93.44349
CYAH,YAH,La Grande-4 Airport,La Grande-4,CA,CA-QC,NA,medium_airport,1,5000,53.75470,-73.67530
CYAM,YAM,Sault Ste Marie Airport,Sault Ste Marie,CA,CA-ON,NA,medium_airport,2,6000,46.48322,-84.50847
CYAQ,XKS,Kasabonika Airport,Kasabonika,CA,CA-ON,NA,medium_airport,1,3500,53.52470,-88.64280
CYAV,,Winnipeg / St. Andrews Airport,Winnipeg/Saint Andrews,CA,CA-MB,NA,medium_airport,3,3000,50.05640,-97.03250
CYAY,YAY,St. Anthony Airport,St. Anthony,CA,CA-NL,NA,medium_airport,1,4000,51.39191,-56.08321
CYAZ,YAZ,Tofino / Long Beach Airport,Tofino,CA,CA-BC,NA,medium_airport,3,5000,49.07983,-125.77558
CYBC,YBC,Baie-Comeau Airport,Baie-Comeau,CA,CA-QC,NA,medium_airport,1,6000,49.13250,-68.20440
CYBD,QBC,Bella Coola Airport,Bella Coola,CA,CA-BC,NA,medium_airport,1,4200,52.38750,-126.59600
CYBF,YBY,Bonnyville Airport,Bonnyville,CA,CA-AB,NA,medium_airport,1,4434,54.30420,-110.74400
CYBG,YBG,Saguenay-Bagotville Airport,Saguenay,CA,CA-QC,NA,medium_airport,2,10000,48.33012,-70.99201
CYBK,YBK,Baker Lake Airport,Baker Lake,CA,CA-NU,NA,medium_airport,1,4200,64.29890,-96.07780
CYBL,YBL,Campbell River Airport,Campbell River,CA,CA-BC,NA,medium_airport,1,6499,49.95080,-125.27100
CYBR,YBR,Brandon Municipal Airport,Brandon,CA,CA-MB,NA,medium_airport,2,6500,49.91000,-99.95190
CYBU,,Nipawin Airport,Nipawin,CA,CA-SK,NA,medium_airport,2,2930,53.33250,-104.00800
CYBW,,Calgary / Springbank Airport,Calgary,CA,CA-AB,NA,medium_airport,2,5000,51.10398,-114.36938
CYBX,YBX,Lourdes-de-Blanc-Sablon Airport,Blanc-Sablon,CA,CA-QC,NA,medium_airport,1,4500,51.44360,-57.18530
CYCB,YCB,Cambridge Bay Airport,Cambridge Bay,CA,CA-NU,NA,medium_airport,1,5000,69.10810,-105.13800
CYCC,YCC,Cornwall Regional Airport,Cornwall,CA,CA-ON,NA,medium_airport,1,3500,45.09264,-74.56772
CYCD,YCD,Nanaimo Airport,Nanaimo,CA,CA-BC,NA,medium_airport,1,6602,49.05497,-123.86986
CYCE,YCE,Centralia / James T. Field Memorial Aerodrome,Huron Park,CA,CA-ON,NA,medium_airport,2,5012,43.28560,-81.50830
CYCG,YCG,Castlegar/West Kootenay Regional Airport,Castlegar,CA,CA-BC,NA,medium_airport,1,5300,49.29640,-117.63200
CYCH,YCH,Miramichi Airport,Miramichi,CA,CA-NB,NA,medium_airport,1,10006,47.00780,-65.44920
CYCL,YCL,Charlo Airport,Charlo,CA,CA-NB,NA,medium_airport,1,6000,47.99080,-66.33030
CYCN,YCN,Cochrane Airport,Cochrane,CA,CA-ON,NA,medium_airport,1,4500,49.10560,-81.01360
CYCP,,Blue River Airport,Blue River,CA,CA-BC,NA,medium_airport,1,5000,52.11670,-119.28300
CYCQ,YCQ,Chetwynd Airport,Chetwynd,CA,CA-BC,NA,medium_airport,1,4484,55.68720,-121.62700
CYDA,YDA,Dawson City Airport,Dawson City,CA,CA-YT,NA,medium_airport,1,5000,64.04310,-139.12801
CYDB,YDB,Burwash Airport,Burwash Landing,CA,CA-YT,NA,medium_airport,1,5006,61.37110,-139.04100
CYDF,YDF,Deer Lake Airport,Deer Lake,CA,CA-NL,NA,medium_airport,1,8005,49.20816,-57.39615
CYDM,XRR,Ross River Airport,Ross River,CA,CA-YT,NA,medium_airport,1,5000,61.97060,-132.42300
CYDN,YDN,Dauphin Barker Airport,Dauphin,CA,CA-MB,NA,medium_airport,3,5000,51.10080,-100.05200
CYDO,YDO,Dolbeau-Saint-Felicien Airport,Dolbeau-Saint-Felicien,CA,CA-QC,NA,medium_airport,1,4971,48.77850,-72.37500
CYDQ,YDQ,Dawson Creek Airport,Dawson Creek,CA,CA-BC,NA,medium_airport,1,5001,55.74124,-120.18326
CYEE,,Huronia Airport,Midland,CA,CA-ON,NA,medium_airport,1,3998,44.68330,-79.92830
CYEG,YEG,Edmonton International Airport,Edmonton,CA,CA-AB,NA,large_airport,2,11000,53.30970,-113.58000
CYEL,YEL,Elliot Lake Municipal Airport,Elliot Lake,CA,CA-ON,NA,medium_airport,1,4500,46.35140,-82.56140
CYEM,YEM,Manitoulin East Municipal Airport,Sheguiandah,CA,CA-ON,NA,medium_airport,1,3500,45.84244,-81.85760
CYEN,YEN,Estevan Airport,Estevan,CA,CA-SK,NA,medium_airport,2,5000,49.21030,-102.96600
CYET,YET,Edson Airport,Edson,CA,CA-AB,NA,medium_airport,1,6000,53.57890,-116.46500
CYEV,YEV,Inuvik Mike Zubko Airport,Inuvik,CA,CA-NT,NA,medium_airport,1,6000,68.30420,-133.48300
CYEY,YEY,Amos/Magny Airport,Amos,CA,CA-QC,NA,medium_airport,1,5000,48.56390,-78.24970
CYFB,YFB,Iqaluit Airport,Iqaluit,CA,CA-NU,NA,medium_airport,1,8605,63.75640,-68.55580
CYFC,YFC,Fredericton International Airport,Fredericton,CA,CA-NB,NA,medium_airport,2,8005,45.86870,-66.52989
CYFD,,Brantford Municipal Airport,Brantford,CA,CA-ON,NA,medium_airport,3,5000,43.13140,-80.34250
CYFE,YFE,Forestville Airport,Forestville,CA,CA-QC,NA,medium_airport,1,5000,48.74610,-69.09720
CYFJ,YTM,Mont-Tremblant International Airport,La Macaza,CA,CA-QC,NA,medium_airport,1,5587,46.40940,-74.78000
CYFR,YFR,Fort Resolution Airport,Fort Resolution,CA,CA-NT,NA,medium_airport,1,4001,61.18080,-113.69000
CYFS,YFS,Fort Simpson Airport,Fort Simpson,CA,CA-NT,NA,medium_airport,1,6000,61.76020,-121.23700
CYGD,,Goderich Airport,Goderich,CA,CA-ON,NA,medium_airport,3,5000,43.76690,-81.71060
CYGE,,Golden Airport,Golden,CA,CA-BC,NA,medium_airport,1,4500,51.29920,-116.98200
CYGK,YGK,Kingston Norman Rogers Airport,Kingston,CA,CA-ON,NA,medium_airport,2,6001,44.22530,-76.59690
CYGL,YGL,La Grande Rivière Airport,La Grande Rivière,CA,CA-QC,NA,medium_airport,1,6500,53.62530,-77.70420
CYGM,YGM,Gimli Industrial Park Airport,Gimli,CA,CA-MB,NA,medium_airport,1,6800,50.62810,-97.04330
CYGP,YGP,Michel-Pouliot Gaspé Airport,Gaspé,CA,CA-QC,NA,medium_airport,1,5488,48.77492,-64.48189
CYGQ,YGQ,Geraldton Greenstone Regional Airport,Geraldton,CA,CA-ON,NA,medium_airport,1,5000,49.77830,-86.93940
CYGR,YGR,Îles-de-la-Madeleine Airport,Les Îles-de-la-Madeleine,CA,CA-QC,NA,medium_airport,2,4500,47.42524,-61.77861
CYGV,YGV,Havre-Saint-Pierre Airport,Havre-Saint-Pierre,CA,CA-QC,NA,medium_airport,1,4500,50.28190,-63.61140
CYGW,YGW,Kuujjuarapik Airport,Kuujjuarapik,CA,CA-QC,NA,medium_airport,1,5052,55.28190,-77.76530
CYHD,YHD,Dryden Regional Airport,Dryden,CA,CA-ON,NA,medium_airport,1,5993,49.83170,-92.74420
CYHF,YHF,Hearst René Fontaine Municipal Airport,Hearst,CA,CA-ON,NA,medium_airport,1,4500,49.71420,-83.68610
CYHM,YHM,John C. Munro Hamilton International Airport,Hamilton,CA,CA-ON,NA,large_airport,2,10006,43.17131,-79.92942
CYHN,YHN,Hornepayne Municipal Airport,Hornepayne,CA,CA-ON,NA,medium_airport,1,3500,49.19310,-84.75890
CYHT,YHT,Haines Junction Airport,Haines Junction,CA,CA-YT,NA,medium_airport,1,5000,60.78920,-137.54601
CYHU,YHU,Montréal / Saint-Hubert Metropolitan Airport,Montréal,CA,CA-QC,NA,medium_airport,3,7840,45.51750,-73.41690
CYHY,YHY,Hay River / Merlyn Carter Airport,Hay River,CA,CA-NT,NA,medium_airport,2,6000,60.83970,-115.78300
CYHZ,YHZ,Halifax / Stanfield International Airport,Halifax,CA,CA-NS,NA,large_airport,2,10500,44.88080,-63.50860
CYIB,YIB,Atikokan Municipal Airport,Atikokan,CA,CA-ON,NA,medium_airport,1,3500,48.77390,-91.63860
CYID,YDG,Digby / Annapolis Regional Airport,Digby,CA,CA-NS,NA,medium_airport,1,3950,44.54585,-65.78542
CYIF,YIF,St Augustin Airport,St-Augustin,CA,CA-QC,NA,medium_airport,1,4590,51.21170,-58.65830
CYIV,YIV,Island Lake Airport,Island Lake,CA,CA-MB,NA,medium_airport,1,4000,53.85720,-94.65360
CYJF,YJF,Fort Liard Airport,Fort Liard,CA,CA-NT,NA,medium_airport,1,2946,60.23580,-123.46900
CYJN,YJN,St Jean Airport,St Jean,CA,CA-QC,NA,medium_airport,3,4000,45.29440,-73.28110
CYKA,YKA,Kamloops John Moose Fulton Field Regional Airport,Kamloops,CA,CA-BC,NA,medium_airport,2,8000,50.70304,-120.44864
CYKF,YKF,Region of Waterloo International Airport,Breslau,CA,CA-ON,NA,medium_airport,2,7003,43.46080,-80.37860
CYKJ,YKJ,Key Lake Airport,Key Lake,CA,CA-SK,NA,medium_airport,1,5200,57.25610,-105.61800
CYKL,YKL,Schefferville Airport,Schefferville,CA,CA-QC,NA,medium_airport,1,5000,54.80530,-66.80530
CYKM,YKD,Kincardine Municipal Airport,Kincardine,CA,CA-ON,NA,medium_airport,2,4085,44.20140,-81.60670
CYKX,YKX,Kirkland Lake Airport,Kirkland Lake,CA,CA-ON,NA,medium_airport,1,4500,48.21030,-79.98140
CYKY,YKY,Kindersley Airport,Kindersley,CA,CA-SK,NA,medium_airport,2,3507,51.51750,-109.18100
CYLD,YLD,Chapleau Airport,Chapleau,CA,CA-ON,NA,medium_airport,2,5000,47.82000,-83.34670
CYLJ,YLJ,Meadow Lake Airport,Meadow Lake,CA,CA-SK,NA,medium_airport,2,5000,54.12530,-108.52300
CYLL,YLL,Lloydminster Airport,Lloydminster,CA,CA-AB,NA,medium_airport,2,5577,53.30920,-110.07300
CYLR,YLR,Leaf Rapids Airport,Leaf Rapids,CA,CA-MB,NA,medium_airport,1,3000,56.51330,-99.98530
CYLS,YLK,Barrie-Lake Simcoe Regional Airport,Barrie,CA,CA-ON,NA,medium_airport,1,6001,44.48506,-79.55466
CYLT,YLT,Alert Airport,Alert,CA,CA-NU,NA,medium_airport,1,5500,82.51726,-62.28304
CYLW,YLW,Kelowna International Airport,Kelowna,CA,CA-BC,NA,large_airport,1,8900,49.95610,-119.37800
CYMA,YMA,Mayo Airport,Mayo,CA,CA-YT,NA,medium_airport,1,4856,63.61640,-135.86800
CYME,YME,Matane Airport,Matane,CA,CA-QC,NA,medium_airport,1,5500,48.85690,-67.45330
CYMG,YMG,Manitouwadge Airport,Manitouwadge,CA,CA-ON,NA,medium_airport,1,3600,49.08390,-85.86060
CYMJ,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,CA,CA-SK,NA,medium_airport,3,8326,50.33030,-105.55900
CYML,YML,Charlevoix Airport,Charlevoix,CA,CA-QC,NA,medium_airport,1,4501,47.59750,-70.22390
CYMM,YMM,Fort McMurray International Airport,Fort McMurray,CA,CA-AB,NA,medium_airport,1,7503,56.65330,-111.22200
CYMO,YMO,Moosonee Airport,Moosonee,CA,CA-ON,NA,medium_airport,2,4000,51.29110,-80.60780
CYMT,YMT,Chapais Airport,Chibougamau,CA,CA-QC,NA,medium_airport,1,6496,49.77190,-74.52810
CYMX,YMX,Montreal Mirabel International Airport,Montréal,CA,CA-QC,NA,medium_airport,2,12000,45.67950,-74.03870
CYNA,YNA,Natashquan Airport,Natashquan,CA,CA-QC,NA,medium_airport,1,4494,50.19011,-61.78898
CYND,YND,Ottawa / Gatineau Airport,Gatineau,CA,CA-QC,NA,medium_airport,1,6000,45.52170,-75.56360
CYNJ,YLY,Langley Airport,Langley,CA,CA-BC,NA,medium_airport,2,2743,49.10080,-122.63100
CYNL,YNL,Points North Landing Airport,Points North Landing,CA,CA-SK,NA,medium_airport,1,6000,58.27670,-104.08200
CYNM,YNM,Matagami Airport,Matagami,CA,CA-QC,NA,medium_airport,1,5000,49.76170,-77.80280
CYNN,,Nejanilini Lake Airport,Nejanilini Lake,CA,CA-MB,NA,medium_airport,1,3350,59.48750,-97.78030
CYOA,YOA,Ekati Airport,Ekati,CA,CA-NT,NA,medium_airport,1,6411,64.69890,-110.61500
CYOD,YOD,CFB Cold Lake,Cold Lake,CA,CA-AB,NA,medium_airport,3,12600,54.40500,-110.27900
CYOJ,YOJ,High Level Airport,High Level,CA,CA-AB,NA,medium_airport,1,5000,58.62140,-117.16500
CYOO,YOO,Oshawa Executive Airport,Oshawa,CA,CA-ON,NA,medium_airport,2,4750,43.92280,-78.89500
CYOP,YOP,Rainbow Lake Airport,Rainbow Lake,CA,CA-AB,NA,medium_airport,1,4539,58.49140,-119.40800
CYOS,YOS,Owen Sound / Billy Bishop Regional Airport,Owen Sound,CA,CA-ON,NA,medium_airport,1,3932,44.59030,-80.83750
CYOW,YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,CA,CA-ON,NA,large_airport,3,10000,45.32250,-75.66920
CYPA,YPA,Prince Albert Glass Field,Prince Albert,CA,CA-SK,NA,medium_airport,2,5000,53.21420,-105.67300
CYPD,YPS,Port Hawkesbury Airport,Port Hawkesbury,CA,CA-NS,NA,medium_airport,1,5000,45.65670,-61.36810
CYPE,YPE,Peace River Airport,Peace River,CA,CA-AB,NA,medium_airport,1,5000,56.22690,-117.44700
CYPG,YPG,Portage-la-Prairie / Southport Airport,Portage la Prairie,CA,CA-MB,NA,medium_airport,4,7000,49.90310,-98.27382
CYPK,,Pitt Meadows Regional Airport,Pitt Meadows,CA,CA-BC,NA,medium_airport,3,5003,49.21488,-122.70929
CYPL,YPL,Pickle Lake Airport,Pickle Lake,CA,CA-ON,NA,medium_airport,1,4921,51.44640,-90.21420
CYPN,YPN,Port-Menier Airport,Port-Menier,CA,CA-QC,NA,medium_airport,1,4886,49.83640,-64.28860
CYPQ,YPQ,Peterborough Regional Airport,Peterborough,CA,CA-ON,NA,medium_airport,2,7005,44.23225,-78.36205
CYPR,YPR,Prince Rupert Airport,Prince Rupert,CA,CA-BC,NA,medium_airport,1,6000,54.28610,-130.44501
CYPW,YPW,Powell River Airport,Powell River,CA,CA-BC,NA,medium_airport,1,3627,49.83420,-124.50000
CYPX,YPX,Puvirnituq Airport,Puvirnituq,CA,CA-QC,NA,medium_airport,1,6299,60.05060,-77.28690
CYPY,YPY,Fort Chipewyan Airport,Fort Chipewyan,CA,CA-AB,NA,medium_airport,1,5000,58.76720,-111.11700
CYPZ,YPZ,Burns Lake Airport,Burns Lake,CA,CA-BC,NA,medium_airport,1,5000,54.37640,-125.95100
CYQA,YQA,Muskoka Airport,Gravenhurst,CA,CA-ON,NA,medium_airport,1,6000,44.97538,-79.30655
CYQB,YQB,Quebec Jean Lesage International Airport,Quebec,CA,CA-QC,NA,large_airport,2,9000,46.79110,-71.39330
CYQD,YQD,The Pas Airport,The Pas,CA,CA-MB,NA,medium_airport,1,5901,53.97140,-101.09100
CYQF,YQF,Red Deer Regional Airport,Springbrook,CA,CA-AB,NA,medium_airport,2,7500,52.18220,-113.89400
CYQG,YQG,Windsor International Airport,Windsor,CA,CA-ON,NA,large_airport,2,9000,42.27560,-82.95560
CYQH,YQH,Watson Lake Airport,Watson Lake,CA,CA-YT,NA,medium_airport,1,5504,60.11684,-128.82199
CYQI,YQI,Yarmouth Airport,Yarmouth,CA,CA-NS,NA,medium_airport,2,6000,43.82690,-66.08810
CYQK,YQK,Kenora Airport,Kenora,CA,CA-ON,NA,medium_airport,1,5800,49.78830,-94.36310
CYQL,YQL,Lethbridge County Airport,Lethbridge,CA,CA-AB,NA,medium_airport,2,6500,49.63030,-112.80000
CYQM,YQM,Greater Moncton Roméo LeBlanc International Airport,Moncton,CA,CA-NB,NA,medium_airport,2,10001,46.11319,-64.67719
CYQN,YQN,Nakina Airport,Nakina,CA,CA-ON,NA,medium_airport,1,3500,50.18280,-86.69640
CYQQ,YQQ,Comox Valley International Airport / CFB Comox,Comox,CA,CA-BC,NA,medium_airport,2,10000,49.71080,-124.88700
CYQR,YQR,Regina International Airport,Regina,CA,CA-SK,NA,medium_airport,2,7900,50.43194,-104.66091
CYQS,YQS,St Thomas Municipal Airport,St Thomas,CA,CA-ON,NA,medium_airport,3,5013,42.77000,-81.11080
CYQT,YQT,Thunder Bay International Airport,Thunder Bay,CA,CA-ON,NA,medium_airport,2,7318,48.37190,-89.32390
CYQU,YQU,Grande Prairie Airport,Grande Prairie,CA,CA-AB,NA,medium_airport,2,8502,55.17970,-118.88500
CYQV,YQV,Yorkton Municipal Airport,Yorkton,CA,CA-SK,NA,medium_airport,2,4800,51.26470,-102.46200
CYQW,YQW,North Battleford Airport,North Battleford,CA,CA-SK,NA,medium_airport,2,5000,52.76941,-108.24374
CYQX,YQX,Gander International Airport,Gander,CA,CA-NL,NA,medium_airport,2,10200,48.93626,-54.56772
CYQY,YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,CA,CA-NS,NA,medium_airport,2,7070,46.16107,-60.04976
CYQZ,YQZ,Quesnel Airport,Quesnel,CA,CA-BC,NA,medium_airport,1,5500,53.02610,-122.51000
CYRB,YRB,Resolute Bay Airport,Resolute Bay,CA,CA-NU,NA,medium_airport,1,6500,74.71690,-94.96940
CYRI,YRI,Rivière-du-Loup Airport,Rivière-du-Loup,CA,CA-QC,NA,medium_airport,1,6000,47.76440,-69.58470
CYRJ,YRJ,Roberval Airport,Roberval,CA,CA-QC,NA,medium_airport,1,5000,48.51967,-72.26574
CYRL,YRL,Red Lake Airport,Red Lake,CA,CA-ON,NA,medium_airport,1,5001,51.06690,-93.79310
CYRO,YRO,Ottawa / Rockcliffe Airport,Ottawa,CA,CA-ON,NA,medium_airport,1,3300,45.46050,-75.64400
CYRP,,Ottawa / Carp Airport,Ottawa,CA,CA-ON,NA,medium_airport,2,3937,45.31920,-76.02220
CYRQ,YRQ,Trois-Rivières Airport,Trois-Rivières,CA,CA-QC,NA,medium_airport,1,9006,46.35280,-72.67940
CYRT,YRT,Rankin Inlet Airport,Rankin Inlet,CA,CA-NU,NA,medium_airport,1,6000,62.81140,-92.11580
CYRV,YRV,Revelstoke Airport,Revelstoke,CA,CA-BC,NA,medium_airport,1,4800,50.96225,-118.18426
CYSB,YSB,Sudbury Airport,Sudbury,CA,CA-ON,NA,medium_airport,2,6600,46.62500,-80.79890
CYSC,YSC,Sherbrooke Airport,Sherbrooke,CA,CA-QC,NA,medium_airport,2,6000,45.43860,-71.69140
CYSF,YSF,Stony Rapids Airport,Stony Rapids,CA,CA-SK,NA,medium_airport,1,5050,59.25030,-105.84100
CYSG,,Saint-Georges Airport,Saint-Georges,CA,CA-QC,NA,medium_airport,1,5108,46.09640,-70.71470
CYSH,YSH,Smiths Falls-Montague (Russ Beach) Airport,Smiths Falls,CA,CA-ON,NA,medium_airport,2,4000,44.94580,-75.94060
CYSJ,YSJ,Saint John Airport,Saint John,CA,CA-NB,NA,medium_airport,2,7000,45.31610,-65.89030
CYSL,YSL,Saint-Léonard Airport,Saint-Léonard,CA,CA-NB,NA,medium_airport,1,4000,47.15710,-67.83624
CYSM,YSM,Fort Smith Airport,Fort Smith,CA,CA-NT,NA,medium_airport,2,6000,60.02030,-111.96200
CYSN,YCM,Niagara District Airport,Niagara-on-the-Lake,CA,CA-ON,NA,medium_airport,3,5000,43.19160,-79.17169
CYSP,YSP,Marathon Airport,Marathon,CA,CA-ON,NA,medium_airport,1,3933,48.75530,-86.34440
CYSU,YSU,Summerside Airport,Slemon Park,CA,CA-PE,NA,medium_airport,1,8000,46.44060,-63.83360
CYTA,YTA,Pembroke Airport,Pembroke,CA,CA-ON,NA,medium_airport,1,5000,45.86440,-77.25170
CYTF,YTF,Alma Airport,Alma,CA,CA-QC,NA,medium_airport,1,5000,48.50890,-71.64190
CYTH,YTH,Thompson Airport,Thompson,CA,CA-MB,NA,medium_airport,2,5800,55.80110,-97.86420
CYTR,YTR,CFB Trenton,Trenton,CA,CA-ON,NA,medium_airport,2,10000,44.11890,-77.52810
CYTS,YTS,Timmins/Victor M. Power,Timmins,CA,CA-ON,NA,medium_airport,2,6000,48.56970,-81.37670
CYTZ,YTZ,Billy Bishop Toronto City Airport,Toronto,CA,CA-ON,NA,medium_airport,2,3988,43.62785,-79.39553
CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,CA,CA-QC,NA,large_airport,2,11000,45.46784,-73.74229
CYUX,YUX,Hall Beach Airport,Sanirajak,CA,CA-NU,NA,medium_airport,1,5410,68.77610,-81.24250
